tiempo,To
2019-06-08 00:00:00,19.81
2019-06-08 00:10:00,19.87
2019-06-08 00:20:00,19.89
2019-06-08 00:30:00,19.95
2019-06-08 00:40:00,19.95
2019-06-08 00:50:00,19.95
2019-06-08 01:00:00,19.97
2019-06-08 01:10:00,19.99
2019-06-08 01:20:00,20.01
2019-06-08 01:30:00,20.01
2019-06-08 01:40:00,19.82
2019-06-08 01:50:00,19.73
2019-06-08 02:00:00,19.59
2019-06-08 02:10:00,19.42
2019-06-08 02:20:00,19.51
2019-06-08 02:30:00,19.63
2019-06-08 02:40:00,19.51
2019-06-08 02:50:00,19.61
2019-06-08 03:00:00,19.63
2019-06-08 03:10:00,19.51
2019-06-08 03:20:00,19.2
2019-06-08 03:30:00,19.25
2019-06-08 03:40:00,19.08
2019-06-08 03:50:00,18.87
2019-06-08 04:00:00,18.66
2019-06-08 04:10:00,18.4
2019-06-08 04:20:00,18.39
2019-06-08 04:30:00,18.31
2019-06-08 04:40:00,18.28
2019-06-08 04:50:00,18.28
2019-06-08 05:00:00,18.36
2019-06-08 05:10:00,18.08
2019-06-08 05:20:00,18.07
2019-06-08 05:30:00,18.31
2019-06-08 05:40:00,18.05
2019-06-08 05:50:00,17.77
2019-06-08 06:00:00,17.75
2019-06-08 06:10:00,17.8
2019-06-08 06:20:00,17.96
2019-06-08 06:30:00,18.13
2019-06-08 06:40:00,18.6
2019-06-08 06:50:00,18.66
2019-06-08 07:00:00,18.55
2019-06-08 07:10:00,18.87
2019-06-08 07:20:00,20.0
2019-06-08 07:30:00,19.98
2019-06-08 07:40:00,20.87
2019-06-08 07:50:00,22.0
2019-06-08 08:00:00,22.78
2019-06-08 08:10:00,21.17
2019-06-08 08:20:00,21.03
2019-06-08 08:30:00,21.66
2019-06-08 08:40:00,21.84
2019-06-08 08:50:00,21.94
2019-06-08 09:00:00,22.52
2019-06-08 09:10:00,23.16
2019-06-08 09:20:00,23.93
2019-06-08 09:30:00,23.55
2019-06-08 09:40:00,24.01
2019-06-08 09:50:00,24.87
2019-06-08 10:00:00,25.46
2019-06-08 10:10:00,25.37
2019-06-08 10:20:00,26.05
2019-06-08 10:30:00,25.03
2019-06-08 10:40:00,25.84
2019-06-08 10:50:00,26.56
2019-06-08 11:00:00,26.9
2019-06-08 11:10:00,27.21
2019-06-08 11:20:00,27.92
2019-06-08 11:30:00,28.09
2019-06-08 11:40:00,28.12
2019-06-08 11:50:00,27.85
2019-06-08 12:00:00,27.78
2019-06-08 12:10:00,28.63
2019-06-08 12:20:00,28.83
2019-06-08 12:30:00,28.66
2019-06-08 12:40:00,29.03
2019-06-08 12:50:00,29.42
2019-06-08 13:00:00,29.69
2019-06-08 13:10:00,29.34
2019-06-08 13:20:00,29.39
2019-06-08 13:30:00,29.79
2019-06-08 13:40:00,29.87
2019-06-08 13:50:00,30.1
2019-06-08 14:00:00,29.6
2019-06-08 14:10:00,29.14
2019-06-08 14:20:00,30.0
2019-06-08 14:30:00,30.51
2019-06-08 14:40:00,30.23
2019-06-08 14:50:00,30.51
2019-06-08 15:00:00,31.3
2019-06-08 15:10:00,31.42
2019-06-08 15:20:00,31.21
2019-06-08 15:30:00,31.16
2019-06-08 15:40:00,31.17
2019-06-08 15:50:00,32.1
2019-06-08 16:00:00,31.76
2019-06-08 16:10:00,31.72
2019-06-08 16:20:00,31.71
2019-06-08 16:30:00,31.75
2019-06-08 16:40:00,32.34
2019-06-08 16:50:00,31.66
2019-06-08 17:00:00,31.4
2019-06-08 17:10:00,31.16
2019-06-08 17:20:00,30.92
2019-06-08 17:30:00,30.69
2019-06-08 17:40:00,30.81
2019-06-08 17:50:00,31.18
2019-06-08 18:00:00,31.44
2019-06-08 18:10:00,30.64
2019-06-08 18:20:00,29.96
2019-06-08 18:30:00,29.21
2019-06-08 18:40:00,29.08
2019-06-08 18:50:00,28.52
2019-06-08 19:00:00,27.69
2019-06-08 19:10:00,27.43
2019-06-08 19:20:00,28.0
2019-06-08 19:30:00,27.76
2019-06-08 19:40:00,27.28
2019-06-08 19:50:00,27.13
2019-06-08 20:00:00,27.42
2019-06-08 20:10:00,27.48
2019-06-08 20:20:00,27.39
2019-06-08 20:30:00,26.78
2019-06-08 20:40:00,26.68
2019-06-08 20:50:00,26.66
2019-06-08 21:00:00,26.04
2019-06-08 21:10:00,25.73
2019-06-08 21:20:00,26.08
2019-06-08 21:30:00,26.19
2019-06-08 21:40:00,26.06
2019-06-08 21:50:00,25.9
2019-06-08 22:00:00,26.1
2019-06-08 22:10:00,25.9
2019-06-08 22:20:00,25.81
2019-06-08 22:30:00,25.53
2019-06-08 22:40:00,25.17
2019-06-08 22:50:00,24.68
2019-06-08 23:00:00,24.61
2019-06-08 23:10:00,24.83
2019-06-08 23:20:00,24.83
2019-06-08 23:30:00,24.55
2019-06-08 23:40:00,24.25
2019-06-08 23:50:00,23.97
2019-06-09 00:00:00,23.56
2019-06-09 00:10:00,23.52
2019-06-09 00:20:00,23.75
2019-06-09 00:30:00,23.74
2019-06-09 00:40:00,23.55
2019-06-09 00:50:00,23.66
2019-06-09 01:00:00,24.13
2019-06-09 01:10:00,24.26
2019-06-09 01:20:00,23.86
2019-06-09 01:30:00,23.81
2019-06-09 01:40:00,24.29
2019-06-09 01:50:00,23.89
2019-06-09 02:00:00,23.63
2019-06-09 02:10:00,23.47
2019-06-09 02:20:00,23.39
2019-06-09 02:30:00,23.21
2019-06-09 02:40:00,23.17
2019-06-09 02:50:00,23.22
2019-06-09 03:00:00,23.41
2019-06-09 03:10:00,23.34
2019-06-09 03:20:00,23.37
2019-06-09 03:30:00,23.5
2019-06-09 03:40:00,22.95
2019-06-09 03:50:00,22.44
2019-06-09 04:00:00,22.24
2019-06-09 04:10:00,22.11
2019-06-09 04:20:00,22.33
2019-06-09 04:30:00,22.24
2019-06-09 04:40:00,22.43
2019-06-09 04:50:00,21.88
2019-06-09 05:00:00,22.29
2019-06-09 05:10:00,22.37
2019-06-09 05:20:00,22.43
2019-06-09 05:30:00,21.95
2019-06-09 05:40:00,21.87
2019-06-09 05:50:00,21.69
2019-06-09 06:00:00,21.34
2019-06-09 06:10:00,21.68
2019-06-09 06:20:00,21.6
2019-06-09 06:30:00,21.61
2019-06-09 06:40:00,22.22
2019-06-09 06:50:00,22.75
2019-06-09 07:00:00,23.18
2019-06-09 07:10:00,23.19
2019-06-09 07:20:00,23.06
2019-06-09 07:30:00,23.14
2019-06-09 07:40:00,23.47
2019-06-09 07:50:00,24.02
2019-06-09 08:00:00,24.52
2019-06-09 08:10:00,25.39
2019-06-09 08:20:00,26.25
2019-06-09 08:30:00,27.13
2019-06-09 08:40:00,27.47
2019-06-09 08:50:00,28.09
2019-06-09 09:00:00,28.35
2019-06-09 09:10:00,28.47
2019-06-09 09:20:00,29.01
2019-06-09 09:30:00,28.95
2019-06-09 09:40:00,27.87
2019-06-09 09:50:00,27.58
2019-06-09 10:00:00,27.9
2019-06-09 10:10:00,27.22
2019-06-09 10:20:00,27.44
2019-06-09 10:30:00,27.94
2019-06-09 10:40:00,28.14
2019-06-09 10:50:00,28.1
2019-06-09 11:00:00,27.92
2019-06-09 11:10:00,28.36
2019-06-09 11:20:00,28.89
2019-06-09 11:30:00,29.33
2019-06-09 11:40:00,29.1
2019-06-09 11:50:00,29.81
2019-06-09 12:00:00,29.43
2019-06-09 12:10:00,30.18
2019-06-09 12:20:00,29.92
2019-06-09 12:30:00,29.89
2019-06-09 12:40:00,29.57
2019-06-09 12:50:00,29.84
2019-06-09 13:00:00,29.98
2019-06-09 13:10:00,30.66
2019-06-09 13:20:00,32.31
2019-06-09 13:30:00,32.48
2019-06-09 13:40:00,30.98
2019-06-09 13:50:00,31.15
2019-06-09 14:00:00,31.73
2019-06-09 14:10:00,32.45
2019-06-09 14:20:00,32.94
2019-06-09 14:30:00,31.46
2019-06-09 14:40:00,31.54
2019-06-09 14:50:00,32.08
2019-06-09 15:00:00,31.47
2019-06-09 15:10:00,31.07
2019-06-09 15:20:00,31.6
2019-06-09 15:30:00,32.46
2019-06-09 15:40:00,32.12
2019-06-09 15:50:00,31.91
2019-06-09 16:00:00,32.22
2019-06-09 16:10:00,32.89
2019-06-09 16:20:00,33.26
2019-06-09 16:30:00,33.58
2019-06-09 16:40:00,32.9
2019-06-09 16:50:00,33.03
2019-06-09 17:00:00,33.66
2019-06-09 17:10:00,33.6
2019-06-09 17:20:00,33.75
2019-06-09 17:30:00,33.69
2019-06-09 17:40:00,33.0
2019-06-09 17:50:00,32.02
2019-06-09 18:00:00,32.55
2019-06-09 18:10:00,32.63
2019-06-09 18:20:00,32.18
2019-06-09 18:30:00,32.5
2019-06-09 18:40:00,31.55
2019-06-09 18:50:00,31.42
2019-06-09 19:00:00,30.96
2019-06-09 19:10:00,30.81
2019-06-09 19:20:00,30.5
2019-06-09 19:30:00,29.91
2019-06-09 19:40:00,29.31
2019-06-09 19:50:00,29.07
2019-06-09 20:00:00,27.81
2019-06-09 20:10:00,27.5
2019-06-09 20:20:00,27.26
2019-06-09 20:30:00,27.69
2019-06-09 20:40:00,26.92
2019-06-09 20:50:00,27.77
2019-06-09 21:00:00,27.11
2019-06-09 21:10:00,27.59
2019-06-09 21:20:00,27.97
2019-06-09 21:30:00,27.69
2019-06-09 21:40:00,28.01
2019-06-09 21:50:00,28.03
2019-06-09 22:00:00,28.15
2019-06-09 22:10:00,27.97
2019-06-09 22:20:00,27.46
2019-06-09 22:30:00,27.2
2019-06-09 22:40:00,26.96
2019-06-09 22:50:00,26.93
2019-06-09 23:00:00,27.4
2019-06-09 23:10:00,27.19
2019-06-09 23:20:00,26.79
2019-06-09 23:30:00,27.44
2019-06-09 23:40:00,27.28
2019-06-09 23:50:00,27.5
2019-06-15 00:00:00,18.15
2019-06-15 00:10:00,18.12
2019-06-15 00:20:00,18.23
2019-06-15 00:30:00,18.31
2019-06-15 00:40:00,18.44
2019-06-15 00:50:00,18.53
2019-06-15 01:00:00,18.64
2019-06-15 01:10:00,18.73
2019-06-15 01:20:00,18.81
2019-06-15 01:30:00,18.81
2019-06-15 01:40:00,18.86
2019-06-15 01:50:00,18.78
2019-06-15 02:00:00,18.79
2019-06-15 02:10:00,18.78
2019-06-15 02:20:00,18.75
2019-06-15 02:30:00,18.73
2019-06-15 02:40:00,18.76
2019-06-15 02:50:00,18.85
2019-06-15 03:00:00,18.83
2019-06-15 03:10:00,18.81
2019-06-15 03:20:00,18.82
2019-06-15 03:30:00,18.81
2019-06-15 03:40:00,18.81
2019-06-15 03:50:00,18.83
2019-06-15 04:00:00,18.84
2019-06-15 04:10:00,18.75
2019-06-15 04:20:00,18.57
2019-06-15 04:30:00,18.44
2019-06-15 04:40:00,18.45
2019-06-15 04:50:00,18.42
2019-06-15 05:00:00,18.32
2019-06-15 05:10:00,18.27
2019-06-15 05:20:00,18.22
2019-06-15 05:30:00,18.25
2019-06-15 05:40:00,18.19
2019-06-15 05:50:00,18.19
2019-06-15 06:00:00,18.28
2019-06-15 06:10:00,18.27
2019-06-15 06:20:00,18.35
2019-06-15 06:30:00,18.34
2019-06-15 06:40:00,18.39
2019-06-15 06:50:00,18.47
2019-06-15 07:00:00,18.62
2019-06-15 07:10:00,18.85
2019-06-15 07:20:00,19.21
2019-06-15 07:30:00,19.36
2019-06-15 07:40:00,19.57
2019-06-15 07:50:00,19.86
2019-06-15 08:00:00,20.07
2019-06-15 08:10:00,19.88
2019-06-15 08:20:00,19.9
2019-06-15 08:30:00,19.88
2019-06-15 08:40:00,19.86
2019-06-15 08:50:00,20.14
2019-06-15 09:00:00,20.27
2019-06-15 09:10:00,20.71
2019-06-15 09:20:00,21.87
2019-06-15 09:30:00,22.06
2019-06-15 09:40:00,22.28
2019-06-15 09:50:00,22.93
2019-06-15 10:00:00,22.92
2019-06-15 10:10:00,23.29
2019-06-15 10:20:00,24.26
2019-06-15 10:30:00,24.54
2019-06-15 10:40:00,23.15
2019-06-15 10:50:00,23.69
2019-06-15 11:00:00,24.58
2019-06-15 11:10:00,24.12
2019-06-15 11:20:00,24.96
2019-06-15 11:30:00,24.67
2019-06-15 11:40:00,24.44
2019-06-15 11:50:00,25.18
2019-06-15 12:00:00,25.01
2019-06-15 12:10:00,25.15
2019-06-15 12:20:00,25.44
2019-06-15 12:30:00,25.41
2019-06-15 12:40:00,25.98
2019-06-15 12:50:00,26.39
2019-06-15 13:00:00,26.51
2019-06-15 13:10:00,26.72
2019-06-15 13:20:00,26.88
2019-06-15 13:30:00,26.52
2019-06-15 13:40:00,27.11
2019-06-15 13:50:00,27.52
2019-06-15 14:00:00,27.42
2019-06-15 14:10:00,27.57
2019-06-15 14:20:00,28.02
2019-06-15 14:30:00,27.97
2019-06-15 14:40:00,27.49
2019-06-15 14:50:00,28.48
2019-06-15 15:00:00,28.96
2019-06-15 15:10:00,28.63
2019-06-15 15:20:00,28.26
2019-06-15 15:30:00,29.11
2019-06-15 15:40:00,28.87
2019-06-15 15:50:00,29.17
2019-06-15 16:00:00,29.03
2019-06-15 16:10:00,28.39
2019-06-15 16:20:00,28.92
2019-06-15 16:30:00,28.69
2019-06-15 16:40:00,28.89
2019-06-15 16:50:00,28.7
2019-06-15 17:00:00,28.68
2019-06-15 17:10:00,28.51
2019-06-15 17:20:00,28.01
2019-06-15 17:30:00,27.99
2019-06-15 17:40:00,27.84
2019-06-15 17:50:00,27.89
2019-06-15 18:00:00,27.75
2019-06-15 18:10:00,27.53
2019-06-15 18:20:00,27.57
2019-06-15 18:30:00,27.61
2019-06-15 18:40:00,27.46
2019-06-15 18:50:00,27.47
2019-06-15 19:00:00,27.44
2019-06-15 19:10:00,27.2
2019-06-15 19:20:00,27.18
2019-06-15 19:30:00,27.0
2019-06-15 19:40:00,26.75
2019-06-15 19:50:00,26.54
2019-06-15 20:00:00,26.45
2019-06-15 20:10:00,26.42
2019-06-15 20:20:00,26.43
2019-06-15 20:30:00,26.21
2019-06-15 20:40:00,26.07
2019-06-15 20:50:00,26.13
2019-06-15 21:00:00,26.1
2019-06-15 21:10:00,26.11
2019-06-15 21:20:00,24.3
2019-06-15 21:30:00,23.55
2019-06-15 21:40:00,23.51
2019-06-15 21:50:00,23.22
2019-06-15 22:00:00,22.55
2019-06-15 22:10:00,22.04
2019-06-15 22:20:00,22.03
2019-06-15 22:30:00,22.2
2019-06-15 22:40:00,22.39
2019-06-15 22:50:00,22.57
2019-06-15 23:00:00,22.47
2019-06-15 23:10:00,22.17
2019-06-15 23:20:00,22.03
2019-06-15 23:30:00,22.1
2019-06-15 23:40:00,22.2
