tiempo,To
2019-06-15 23:50:00,22.21
2019-06-16 00:00:00,22.29
2019-06-16 00:10:00,22.05
2019-06-16 00:20:00,21.88
2019-06-16 00:30:00,21.86
2019-06-16 00:40:00,21.71
2019-06-16 00:50:00,21.67
2019-06-16 01:00:00,21.54
2019-06-16 01:10:00,21.24
2019-06-16 01:20:00,20.89
2019-06-16 01:30:00,20.88
2019-06-16 01:40:00,21.13
2019-06-16 01:50:00,21.19
2019-06-16 02:00:00,21.17
2019-06-16 02:10:00,21.03
2019-06-16 02:20:00,20.93
2019-06-16 02:30:00,20.98
2019-06-16 02:40:00,21.11
2019-06-16 02:50:00,21.02
2019-06-16 03:00:00,21.02
2019-06-16 03:10:00,20.97
2019-06-16 03:20:00,21.06
2019-06-16 03:30:00,20.92
2019-06-16 03:40:00,20.77
2019-06-16 03:50:00,20.68
2019-06-16 04:00:00,20.66
2019-06-16 04:10:00,20.79
2019-06-16 04:20:00,20.78
2019-06-16 04:30:00,21.0
2019-06-16 04:40:00,20.85
2019-06-16 04:50:00,20.95
2019-06-16 05:00:00,21.16
2019-06-16 05:10:00,21.31
2019-06-16 05:20:00,21.25
2019-06-16 05:30:00,21.19
2019-06-16 05:40:00,21.28
2019-06-16 05:50:00,21.31
2019-06-16 06:00:00,21.21
2019-06-16 06:10:00,21.16
2019-06-16 06:20:00,21.16
2019-06-16 06:30:00,21.23
2019-06-16 06:40:00,21.17
2019-06-16 06:50:00,21.4
2019-06-16 07:00:00,21.63
2019-06-16 07:10:00,21.76
2019-06-16 07:20:00,22.06
2019-06-16 07:30:00,22.72
2019-06-16 07:40:00,22.88
2019-06-16 07:50:00,22.46
2019-06-16 08:00:00,22.27
2019-06-16 08:10:00,22.09
2019-06-16 08:20:00,22.4
2019-06-16 08:30:00,22.78
2019-06-16 08:40:00,23.06
2019-06-16 08:50:00,23.24
2019-06-16 09:00:00,23.53
2019-06-16 09:10:00,23.86
2019-06-16 09:20:00,23.85
2019-06-16 09:30:00,24.15
2019-06-16 09:40:00,25.32
2019-06-16 09:50:00,25.13
2019-06-16 10:00:00,25.75
2019-06-16 10:10:00,25.79
2019-06-16 10:20:00,25.81
2019-06-16 10:30:00,24.73
2019-06-16 10:40:00,25.74
2019-06-16 10:50:00,26.28
2019-06-16 11:00:00,26.25
2019-06-16 11:10:00,26.83
2019-06-16 11:20:00,27.85
2019-06-16 11:30:00,27.67
2019-06-16 11:40:00,27.17
2019-06-16 11:50:00,27.81
2019-06-16 12:00:00,27.61
2019-06-16 12:10:00,27.72
2019-06-16 12:20:00,26.94
2019-06-16 12:30:00,27.66
2019-06-16 12:40:00,27.72
2019-06-16 12:50:00,28.07
2019-06-16 13:00:00,27.89
2019-06-16 13:10:00,28.6
2019-06-16 13:20:00,28.23
2019-06-16 13:30:00,27.84
2019-06-16 13:40:00,27.89
2019-06-16 13:50:00,28.48
2019-06-16 14:00:00,29.15
2019-06-16 14:10:00,29.42
2019-06-16 14:20:00,29.16
2019-06-16 14:30:00,30.39
2019-06-16 14:40:00,29.71
2019-06-16 14:50:00,29.77
2019-06-16 15:00:00,29.22
2019-06-16 15:10:00,29.34
2019-06-16 15:20:00,29.29
2019-06-16 15:30:00,29.32
2019-06-16 15:40:00,29.69
2019-06-16 15:50:00,29.57
2019-06-16 16:00:00,28.25
2019-06-16 16:10:00,28.16
2019-06-16 16:20:00,27.98
2019-06-16 16:30:00,27.74
2019-06-16 16:40:00,28.13
2019-06-16 16:50:00,28.77
2019-06-16 17:00:00,29.04
2019-06-16 17:10:00,28.77
2019-06-16 17:20:00,28.91
2019-06-16 17:30:00,28.58
2019-06-16 17:40:00,28.26
2019-06-16 17:50:00,28.26
2019-06-16 18:00:00,28.03
2019-06-16 18:10:00,28.01
2019-06-16 18:20:00,28.37
2019-06-16 18:30:00,27.9
2019-06-16 18:40:00,27.79
2019-06-16 18:50:00,27.64
2019-06-16 19:00:00,27.61
2019-06-16 19:10:00,27.7
2019-06-16 19:20:00,27.43
2019-06-16 19:30:00,27.34
2019-06-16 19:40:00,27.18
2019-06-16 19:50:00,26.88
2019-06-16 20:00:00,26.58
2019-06-16 20:10:00,26.4
2019-06-16 20:20:00,25.65
2019-06-16 20:30:00,24.89
2019-06-16 20:40:00,25.05
2019-06-16 20:50:00,25.18
2019-06-16 21:00:00,25.07
2019-06-16 21:10:00,24.43
2019-06-16 21:20:00,24.37
2019-06-16 21:30:00,24.12
2019-06-16 21:40:00,24.28
2019-06-16 21:50:00,23.92
2019-06-16 22:00:00,23.9
2019-06-16 22:10:00,23.83
2019-06-16 22:20:00,23.89
2019-06-16 22:30:00,23.77
2019-06-16 22:40:00,23.81
2019-06-16 22:50:00,23.78
2019-06-16 23:00:00,23.74
2019-06-16 23:10:00,23.88
2019-06-16 23:20:00,24.1
2019-06-16 23:30:00,24.19
2019-06-16 23:40:00,24.22
2019-06-16 23:50:00,24.28
2019-06-22 00:00:00,23.73
2019-06-22 00:10:00,23.66
2019-06-22 00:20:00,23.1
2019-06-22 00:30:00,22.89
2019-06-22 00:40:00,23.28
2019-06-22 00:50:00,23.47
2019-06-22 01:00:00,23.54
2019-06-22 01:10:00,23.85
2019-06-22 01:20:00,24.08
2019-06-22 01:30:00,23.99
2019-06-22 01:40:00,23.72
2019-06-22 01:50:00,23.54
2019-06-22 02:00:00,22.58
2019-06-22 02:10:00,21.33
2019-06-22 02:20:00,19.75
2019-06-22 02:30:00,19.35
2019-06-22 02:40:00,18.62
2019-06-22 02:50:00,18.53
2019-06-22 03:00:00,18.49
2019-06-22 03:10:00,18.38
2019-06-22 03:20:00,18.49
2019-06-22 03:30:00,18.33
2019-06-22 03:40:00,18.25
2019-06-22 03:50:00,18.25
2019-06-22 04:00:00,18.24
2019-06-22 04:10:00,18.34
2019-06-22 04:20:00,18.3
2019-06-22 04:30:00,18.23
2019-06-22 04:40:00,18.24
2019-06-22 04:50:00,18.38
2019-06-22 05:00:00,18.43
2019-06-22 05:10:00,18.44
2019-06-22 05:20:00,18.6
2019-06-22 05:30:00,18.64
2019-06-22 05:40:00,18.55
2019-06-22 05:50:00,18.83
2019-06-22 06:00:00,18.74
2019-06-22 06:10:00,18.6
2019-06-22 06:20:00,18.31
2019-06-22 06:30:00,18.19
2019-06-22 06:40:00,18.23
2019-06-22 06:50:00,18.13
2019-06-22 07:00:00,18.09
2019-06-22 07:10:00,18.33
2019-06-22 07:20:00,18.51
2019-06-22 07:30:00,18.66
2019-06-22 07:40:00,18.58
2019-06-22 07:50:00,18.58
2019-06-22 08:00:00,18.92
2019-06-22 08:10:00,19.34
2019-06-22 08:20:00,19.53
2019-06-22 08:30:00,19.91
2019-06-22 08:40:00,20.14
2019-06-22 08:50:00,19.94
2019-06-22 09:00:00,20.35
2019-06-22 09:10:00,20.24
2019-06-22 09:20:00,20.55
2019-06-22 09:30:00,20.75
2019-06-22 09:40:00,20.98
2019-06-22 09:50:00,21.52
2019-06-22 10:00:00,22.88
2019-06-22 10:10:00,23.14
2019-06-22 10:20:00,23.96
2019-06-22 10:30:00,24.51
2019-06-22 10:40:00,25.26
2019-06-22 10:50:00,25.18
2019-06-22 11:00:00,24.7
2019-06-22 11:10:00,24.68
2019-06-22 11:20:00,25.4
2019-06-22 11:30:00,26.35
2019-06-22 11:40:00,26.76
2019-06-22 11:50:00,26.08
2019-06-22 12:00:00,25.38
2019-06-22 12:10:00,25.07
2019-06-22 12:20:00,25.29
2019-06-22 12:30:00,25.65
2019-06-22 12:40:00,25.94
2019-06-22 12:50:00,26.18
2019-06-22 13:00:00,26.55
2019-06-22 13:10:00,26.52
2019-06-22 13:20:00,26.08
2019-06-22 13:30:00,25.58
2019-06-22 13:40:00,26.11
2019-06-22 13:50:00,26.65
2019-06-22 14:00:00,26.78
2019-06-22 14:10:00,27.79
2019-06-22 14:20:00,27.76
2019-06-22 14:30:00,27.93
2019-06-22 14:40:00,28.76
2019-06-22 14:50:00,28.56
2019-06-22 15:00:00,27.88
2019-06-22 15:10:00,27.95
2019-06-22 15:20:00,28.26
2019-06-22 15:30:00,28.09
2019-06-22 15:40:00,28.39
2019-06-22 15:50:00,27.8
2019-06-22 16:00:00,29.14
2019-06-22 16:10:00,28.36
2019-06-22 16:20:00,27.8
2019-06-22 16:30:00,27.29
2019-06-22 16:40:00,27.04
2019-06-22 16:50:00,26.59
2019-06-22 17:00:00,26.4
2019-06-22 17:10:00,26.43
2019-06-22 17:20:00,26.34
2019-06-22 17:30:00,26.22
2019-06-22 17:40:00,26.14
2019-06-22 17:50:00,26.32
2019-06-22 18:00:00,26.38
2019-06-22 18:10:00,25.98
2019-06-22 18:20:00,25.72
2019-06-22 18:30:00,25.67
2019-06-22 18:40:00,25.39
2019-06-22 18:50:00,25.28
2019-06-22 19:00:00,25.35
2019-06-22 19:10:00,25.31
2019-06-22 19:20:00,25.28
2019-06-22 19:30:00,25.12
2019-06-22 19:40:00,25.18
2019-06-22 19:50:00,25.07
2019-06-22 20:00:00,24.88
2019-06-22 20:10:00,24.31
2019-06-22 20:20:00,24.42
2019-06-22 20:30:00,24.1
2019-06-22 20:40:00,23.74
2019-06-22 20:50:00,23.47
2019-06-22 21:00:00,23.35
2019-06-22 21:10:00,23.36
2019-06-22 21:20:00,23.41
2019-06-22 21:30:00,23.34
2019-06-22 21:40:00,23.33
2019-06-22 21:50:00,23.3
2019-06-22 22:00:00,23.27
2019-06-22 22:10:00,23.34
2019-06-22 22:20:00,23.22
2019-06-22 22:30:00,23.3
2019-06-22 22:40:00,23.03
2019-06-22 22:50:00,22.6
2019-06-22 23:00:00,22.29
2019-06-22 23:10:00,22.07
2019-06-22 23:20:00,21.95
2019-06-22 23:30:00,22.06
2019-06-22 23:40:00,22.04
2019-06-22 23:50:00,21.94
2019-06-23 00:00:00,21.47
2019-06-23 00:10:00,21.62
2019-06-23 00:20:00,21.67
2019-06-23 00:30:00,21.69
2019-06-23 00:40:00,21.71
2019-06-23 00:50:00,21.82
2019-06-23 01:00:00,21.61
2019-06-23 01:10:00,21.1
2019-06-23 01:20:00,21.15
2019-06-23 01:30:00,20.84
2019-06-23 01:40:00,20.93
2019-06-23 01:50:00,21.34
2019-06-23 02:00:00,21.48
2019-06-23 02:10:00,21.44
2019-06-23 02:20:00,21.42
2019-06-23 02:30:00,20.78
2019-06-23 02:40:00,21.21
2019-06-23 02:50:00,21.43
2019-06-23 03:00:00,21.76
2019-06-23 03:10:00,21.7
2019-06-23 03:20:00,21.95
2019-06-23 03:30:00,21.26
2019-06-23 03:40:00,21.09
2019-06-23 03:50:00,20.98
2019-06-23 04:00:00,20.87
2019-06-23 04:10:00,20.83
2019-06-23 04:20:00,21.04
2019-06-23 04:30:00,20.4
2019-06-23 04:40:00,20.46
2019-06-23 04:50:00,20.22
2019-06-23 05:00:00,20.33
2019-06-23 05:10:00,20.75
2019-06-23 05:20:00,20.43
2019-06-23 05:30:00,19.45
2019-06-23 05:40:00,18.99
2019-06-23 05:50:00,18.81
2019-06-23 06:00:00,18.74
2019-06-23 06:10:00,18.56
2019-06-23 06:20:00,18.4
2019-06-23 06:30:00,18.29
2019-06-23 06:40:00,18.24
2019-06-23 06:50:00,18.46
2019-06-23 07:00:00,18.83
2019-06-23 07:10:00,19.12
2019-06-23 07:20:00,19.24
2019-06-23 07:30:00,19.47
2019-06-23 07:40:00,19.46
2019-06-23 07:50:00,19.4
2019-06-23 08:00:00,19.52
2019-06-23 08:10:00,19.67
2019-06-23 08:20:00,19.58
2019-06-23 08:30:00,19.44
2019-06-23 08:40:00,19.66
2019-06-23 08:50:00,19.85
2019-06-23 09:00:00,20.38
2019-06-23 09:10:00,20.96
2019-06-23 09:20:00,21.74
2019-06-23 09:30:00,22.17
2019-06-23 09:40:00,22.24
2019-06-23 09:50:00,22.56
2019-06-23 10:00:00,22.69
2019-06-23 10:10:00,22.72
2019-06-23 10:20:00,23.43
2019-06-23 10:30:00,23.18
2019-06-23 10:40:00,22.91
2019-06-23 10:50:00,23.36
2019-06-23 11:00:00,23.61
2019-06-23 11:10:00,24.93
2019-06-23 11:20:00,25.11
2019-06-23 11:30:00,23.79
2019-06-23 11:40:00,23.89
2019-06-23 11:50:00,24.83
2019-06-23 12:00:00,24.98
2019-06-23 12:10:00,25.14
2019-06-23 12:20:00,25.65
2019-06-23 12:30:00,25.82
2019-06-23 12:40:00,25.95
2019-06-23 12:50:00,26.06
2019-06-23 13:00:00,25.49
2019-06-23 13:10:00,25.53
2019-06-23 13:20:00,25.76
2019-06-23 13:30:00,25.5
2019-06-23 13:40:00,26.22
2019-06-23 13:50:00,26.66
2019-06-23 14:00:00,27.35
2019-06-23 14:10:00,26.96
2019-06-23 14:20:00,27.9
2019-06-23 14:30:00,27.76
2019-06-23 14:40:00,28.13
2019-06-23 14:50:00,28.29
2019-06-23 15:00:00,28.25
2019-06-23 15:10:00,27.89
2019-06-23 15:20:00,28.34
2019-06-23 15:30:00,27.76
2019-06-23 15:40:00,28.51
2019-06-23 15:50:00,27.86
2019-06-23 16:00:00,27.56
2019-06-23 16:10:00,28.05
2019-06-23 16:20:00,27.75
2019-06-23 16:30:00,28.12
2019-06-23 16:40:00,27.97
2019-06-23 16:50:00,28.64
2019-06-23 17:00:00,28.92
2019-06-23 17:10:00,28.91
2019-06-23 17:20:00,28.59
2019-06-23 17:30:00,28.71
2019-06-23 17:40:00,28.05
2019-06-23 17:50:00,28.15
2019-06-23 18:00:00,27.69
2019-06-23 18:10:00,27.5
2019-06-23 18:20:00,27.3
2019-06-23 18:30:00,27.34
2019-06-23 18:40:00,27.12
2019-06-23 18:50:00,27.05
2019-06-23 19:00:00,26.95
2019-06-23 19:10:00,26.58
2019-06-23 19:20:00,26.2
2019-06-23 19:30:00,26.09
2019-06-23 19:40:00,25.95
2019-06-23 19:50:00,25.25
2019-06-23 20:00:00,25.26
2019-06-23 20:10:00,24.56
2019-06-23 20:20:00,24.35
2019-06-23 20:30:00,23.92
2019-06-23 20:40:00,24.0
2019-06-23 20:50:00,23.8
2019-06-23 21:00:00,23.62
2019-06-23 21:10:00,23.74
2019-06-23 21:20:00,23.68
2019-06-23 21:30:00,23.6
2019-06-23 21:40:00,23.54
2019-06-23 21:50:00,23.74
2019-06-23 22:00:00,23.77
2019-06-23 22:10:00,23.84
2019-06-23 22:20:00,23.92
2019-06-23 22:30:00,23.89
2019-06-23 22:40:00,24.05
2019-06-23 22:50:00,24.12
2019-06-23 23:00:00,23.97
2019-06-23 23:10:00,23.59
2019-06-23 23:20:00,23.39
2019-06-23 23:30:00,23.33
2019-06-23 23:40:00,23.49
